estate,estate_eng,estate_chi,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_wds_m,ms_nm_f,ms_m_f,ms_wds_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,readchi_ablepctn,readeng_ablepctn,writechi_ablepctn,writeeng_ablepctn,edu_pri_be,edu_sec,edu_psec,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_care,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,t_mmearn,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,t_mmearn_xfdh,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_nc,dhc_re,dhc_oth,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,ma_hh,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,ma_econhh,dhm_loan,dhm_lr,dm_r,dmr_ir,fa_m,full_address,full_address_alt,latitude,longitude
60047,Aberdeen Centre,香港仔中心,8353.0,3579.0,4774.0,750.0,1000.0,527.0,2375.0,2567.0,1884.0,46.1,46.4,45.8,6577.0,1197.0,579,7830.0,176,313,-,34,706.0,2185.0,201,1104.0,2565.0,592.0,7708.0,42,82,154,39,88.3,71.0,84.5,69.4,1654.0,3300.0,2399.0,518,493,125,34,-,4422.0,4137.0,91,173.0,21,3931.0,237.0,1184.0,1730.0,173,607.0,1117,1349,463.0,332.0,76,444.0,587.0,54,888.0,1307.0,2206.0,20000.0,399.0,1307.0,2206.0,20000.0,511,473,876.0,691.0,728.0,189,155,773.0,26,158,230.0,677.0,304,248,152,400.0,788.0,910.0,525.0,30,176.0,390.0,1600.0,1480.0,428.0,348.0,2720.0,319.0,689.0,654.0,750.0,204,104,3.1,1905.0,437.0,378.0,420.0,246.0,671.0,1383,40400.0,95,192,620.0,1341,47170.0,11000,20.9,13000,12.5,42.0,"Aberdeen Centre, Hong Kong","香港仔中心, Hong Kong",22.2484801,114.1541592
60050,Aegean Coast,愛琴海岸,4182.0,1882.0,2300.0,818.0,520.0,275.0,1004.0,1648.0,735.0,48.2,50.6,46.7,3015.0,717.0,450,3759.0,147,93,81,102,328.0,1231.0,34,547.0,1309.0,213.0,3638.0,45,80,245,92,90.8,87.3,88.5,84.3,280.0,1527.0,1855.0,351,13,196,71,34,2116.0,1813.0,123,180.0,-,2066.0,304.0,662.0,729.0,109,262.0,274,250,474.0,370.0,73,280.0,340.0,55,359.0,479.0,1278.0,26620.0,137.0,479.0,1278.0,30000.0,323,305,682.0,82.0,261.0,78,88,297.0,-,67,126.0,308.0,145,65,131,171.0,249.0,537.0,306.0,11,120.0,129.0,761.0,695.0,236.0,175.0,1524.0,213.0,530.0,411.0,218.0,141,11,2.7,1142.0,164.0,218.0,208.0,239.0,300.0,777,40170.0,25,170,285.0,751,49540.0,11500,21.2,15000,41,58.0,"Aegean Coast, Hong Kong","愛琴海岸, Hong Kong",22.3724917,113.9948735
20001,Affluence Garden,澤豐花園,5893.0,2931.0,2962.0,990.0,543.0,290.0,1735.0,2360.0,965.0,53.1,51.8,54.3,4734.0,1015.0,144,5784.0,66,43,-,-,807.0,1739.0,126,509.0,1798.0,371.0,5578.0,42,26,54,21,97.5,74.0,96.3,71.6,871.0,2898.0,1581.0,463,12,100,55,-,3282.0,2987.0,67,228.0,-,2611.0,353.0,556.0,915.0,217,570.0,854,226,654.0,597.0,230,585.0,117.0,19,446.0,1260.0,1576.0,18000.0,337.0,1260.0,1576.0,19000.0,241,208,684.0,633.0,478.0,237,363,426.0,12,120,220.0,413.0,623,111,168,144.0,543.0,671.0,221.0,48,89.0,274.0,1237.0,1116.0,430.0,136.0,2096.0,254.0,680.0,643.0,323.0,118,78,2.8,1511.0,284.0,301.0,243.0,253.0,854.0,746,32060.0,12,187,817.0,746,37110.0,8000,21.1,10500,27.6,45.0,"Affluence Garden, Hong Kong","澤豐花園, Hong Kong",22.4034278,113.9751468
20002,Aldrich Garden,愛蝶灣,8644.0,3966.0,4678.0,848.0,715.0,1101.0,1642.0,3486.0,1700.0,49.0,49.1,48.5,5528.0,2639.0,477,8228.0,146,96,-,174,1077.0,2337.0,155,1112.0,2563.0,685.0,7937.0,47,179,235,80,94.9,72.4,93.9,68.9,988.0,4243.0,2698.0,802,243,187,168,43,4384.0,4037.0,34,290.0,23,4260.0,379.0,1363.0,1629.0,164,725.0,799,1362,748.0,288.0,72,767.0,348.0,-,708.0,1425.0,2228.0,20000.0,428.0,1425.0,2228.0,20000.0,552,403,814.0,744.0,766.0,317,178,610.0,-,123,465.0,749.0,317,424,170,229.0,710.0,761.0,416.0,20,202.0,370.0,1878.0,1144.0,493.0,297.0,2906.0,317.0,832.0,797.0,645.0,205,110,3.0,1859.0,668.0,379.0,340.0,273.0,1062.0,1231,34140.0,80,209,973.0,1231,38720.0,6400,15.4,**,**,55.0,"Aldrich Garden, Hong Kong","愛蝶灣, Hong Kong",22.2805523,114.228798
60056,Allway Gardens,荃威花園,8732.0,4047.0,4685.0,864.0,990.0,481.0,2410.0,2784.0,2067.0,47.4,47.7,47.3,5809.0,2498.0,425,8419.0,133,168,-,12,815.0,2525.0,217,979.0,2669.0,537.0,7892.0,59,322,168,87,94.9,73.0,93.5,70.5,971.0,3692.0,3079.0,672,70,276,239,21,4547.0,3916.0,257,345.0,29,4185.0,413.0,1180.0,1876.0,109,607.0,862,716,864.0,952.0,137,585.0,374.0,57,652.0,1465.0,2401.0,20000.0,339.0,1465.0,2401.0,20000.0,468,552,1046.0,830.0,726.0,275,111,508.0,31,277,240.0,849.0,380,118,165,348.0,777.0,772.0,560.0,61,269.0,198.0,1697.0,1611.0,417.0,355.0,3278.0,499.0,1202.0,728.0,630.0,195,24,2.7,2224.0,460.0,594.0,621.0,383.0,798.0,1476,35540.0,78,268,715.0,1464,42070.0,12000,21.4,13000,32.4,45.0,"Allway Gardens, Hong Kong","荃威花園, Hong Kong",22.3769799,114.1042182
60064,Amoy Gardens,淘大花園,10791.0,4981.0,5810.0,857.0,1084.0,627.0,3702.0,3775.0,1603.0,44.9,45.1,44.7,8263.0,2014.0,514,10425.0,112,145,-,109,1268.0,2891.0,190,1603.0,3083.0,672.0,9477.0,276,278,123,118,96.2,80.7,95.5,78.4,715.0,4395.0,4597.0,624,113,354,184,12,6355.0,5916.0,128,277.0,34,4436.0,405.0,1284.0,1593.0,165,989.0,1551,1484,1244.0,809.0,160,763.0,271.0,73,752.0,1882.0,3687.0,22000.0,495.0,1882.0,3687.0,23000.0,772,1103,1645.0,1029.0,857.0,258,203,488.0,-,278,347.0,1104.0,422,365,409,555.0,1082.0,1326.0,437.0,30,199.0,382.0,2739.0,2092.0,594.0,349.0,4526.0,1155.0,1526.0,1014.0,681.0,131,19,2.4,2715.0,464.0,1347.0,587.0,503.0,1251.0,2185,39040.0,113,376,1202.0,2153,43000.0,11000,20,13000,26.9,35.0,"Amoy Gardens, Hong Kong","淘大花園, Hong Kong",22.3246268,114.2164585
10001,Ap Lei Chau Estate,鴨脷洲邨,11960.0,5438.0,6522.0,834.0,883.0,725.0,2982.0,3882.0,3488.0,51.3,51.1,51.4,7953.0,3439.0,568,11242.0,16,223,24,455,1777.0,2758.0,382,1983.0,2722.0,1455.0,11249.0,47,172,32,309,85.2,53.8,80.0,50.4,4105.0,5013.0,1959.0,819,341,130,76,-,5752.0,5394.0,9,349.0,-,6208.0,669.0,1266.0,2673.0,298,1302.0,1725,1586,918.0,221.0,99,931.0,262.0,10,1106.0,3131.0,1515.0,15000.0,894.0,3131.0,1515.0,15000.0,92,171,892.0,837.0,1645.0,448,294,1322.0,51,90,478.0,933.0,571,426,113,267.0,1313.0,969.0,485.0,107,540.0,557.0,1525.0,1891.0,773.0,466.0,4354.0,644.0,1310.0,1383.0,703.0,199,115,2.7,2687.0,986.0,681.0,815.0,1332.0,1402.0,805,20040.0,208,943,1402.0,805,27000.0,-,-,1850,9.3,30.0,"Ap Lei Chau Estate, Hong Kong","鴨脷洲邨, Hong Kong",22.2445136,114.1493397
60072,Aqua Marine,碧海藍天,4367.0,1843.0,2524.0,730.0,694.0,302.0,1461.0,1508.0,402.0,42.0,45.3,41.2,3338.0,538.0,491,3957.0,297,71,14,28,344.0,1167.0,31,574.0,1374.0,183.0,3688.0,114,38,245,91,89.9,90.9,89.4,87.9,89.0,1222.0,2362.0,270,86,372,89,25,2569.0,2349.0,102,111.0,7,1798.0,155.0,839.0,412.0,34,358.0,262,594,660.0,413.0,54,147.0,423.0,16,461.0,323.0,1778.0,30000.0,93.0,323.0,1778.0,40500.0,497,634,554.0,262.0,151.0,31,49,391.0,-,143,111.0,332.0,203,42,102,305.0,348.0,536.0,433.0,14,97.0,146.0,1055.0,870.0,292.0,109.0,1564.0,254.0,518.0,307.0,293.0,182,10,2.8,1236.0,10.0,318.0,104.0,181.0,218.0,1061,60080.0,22,125,183.0,1036,68680.0,15600,17.5,18500,35,47.0,"Aqua Marine, Hong Kong","碧海藍天, Hong Kong",22.3328936,114.1483654
60085,Avon Park,碧湖花園,2929.0,1442.0,1487.0,970.0,358.0,224.0,1032.0,984.0,331.0,41.6,41.3,42.0,2109.0,646.0,174,2823.0,57,49,-,-,261.0,870.0,75,238.0,994.0,133.0,2678.0,101,-,46,11,95.5,87.8,94.0,84.1,124.0,1167.0,1280.0,282,21,81,97,-,1689.0,1580.0,49,60.0,-,1240.0,168.0,466.0,393.0,53,160.0,165,167,627.0,380.0,60,130.0,131.0,29,245.0,385.0,1059.0,25000.0,139.0,385.0,1059.0,25000.0,184,284,337.0,360.0,264.0,18,48,194.0,-,23,97.0,229.0,73,44,91,108.0,318.0,536.0,159.0,11,46.0,63.0,797.0,596.0,100.0,87.0,1213.0,258.0,466.0,266.0,188.0,21,14,2.4,837.0,76.0,300.0,159.0,193.0,269.0,592,37710.0,24,167,269.0,577,41560.0,10000,18,10500,21.4,37.0,"Avon Park, Hong Kong","碧湖花園, Hong Kong",22.4876715,114.1429105
60087,Baguio Villa,碧瑤灣,5339.0,2077.0,3262.0,637.0,749.0,430.0,1715.0,1605.0,840.0,42.3,45.4,41.7,2714.0,714.0,1911,3334.0,977,99,328,601,320.0,1246.0,48,818.0,1916.0,242.0,2619.0,350,56,1880,208,66.4,95.3,65.3,92.4,60.0,1616.0,2914.0,436,302,23,19,23,3023.0,2730.0,142,151.0,-,2316.0,350.0,964.0,743.0,32,227.0,163,1061,217.0,65.0,29,223.0,1209.0,56,1173.0,239.0,1611.0,20000.0,63.0,239.0,1611.0,45830.0,721,485,378.0,177.0,122.0,9,5,1126.0,-,53,88.0,300.0,104,52,72,383.0,383.0,423.0,1154.0,11,142.0,269.0,946.0,878.0,393.0,395.0,1327.0,47.0,215.0,276.0,256.0,299,234,4.0,1091.0,143.0,93.0,107.0,49.0,117.0,1054,118580.0,-,8,75.0,993,145670.0,32000,16.6,52000,36.6,124.0,"Baguio Villa, Hong Kong","碧瑤灣, Hong Kong",22.2622711,114.1337222
